Date,Confirmed,Deaths,Recovered
22/01/2020,0,0,0
23/01/2020,0,0,0
24/01/2020,0,0,0
25/01/2020,0,0,0
26/01/2020,0,0,0
27/01/2020,0,0,0
28/01/2020,0,0,0
29/01/2020,0,0,0
30/01/2020,0,0,0
31/01/2020,0,0,0
01/02/2020,0,0,0
02/02/2020,0,0,0
03/02/2020,0,0,0
04/02/2020,0,0,0
05/02/2020,0,0,0
06/02/2020,0,0,0
07/02/2020,0,0,0
08/02/2020,0,0,0
09/02/2020,0,0,0
10/02/2020,0,0,0
11/02/2020,0,0,0
12/02/2020,0,0,0
13/02/2020,0,0,0
14/02/2020,0,0,0
15/02/2020,0,0,0
16/02/2020,0,0,0
17/02/2020,0,0,0
18/02/2020,0,0,0
19/02/2020,0,0,0
20/02/2020,0,0,0
21/02/2020,0,0,0
22/02/2020,0,0,0
23/02/2020,0,0,0
24/02/2020,0,0,0
25/02/2020,0,0,0
26/02/2020,0,0,0
27/02/2020,0,0,0
28/02/2020,1,0,0
29/02/2020,1,0,0
01/03/2020,1,0,0
02/03/2020,1,0,0
03/03/2020,1,0,0
04/03/2020,3,0,0
05/03/2020,3,0,0
06/03/2020,4,0,0
07/03/2020,5,0,0
08/03/2020,5,0,0
09/03/2020,5,0,0
10/03/2020,5,0,0
11/03/2020,5,0,0
12/03/2020,5,0,0
13/03/2020,5,0,0
14/03/2020,6,0,0
15/03/2020,8,0,0
16/03/2020,8,0,0
17/03/2020,12,0,0
18/03/2020,20,0,0
19/03/2020,28,0,0
20/03/2020,39,0,0
21/03/2020,52,0,0
22/03/2020,102,0,0
23/03/2020,102,0,0
24/03/2020,155,0,12
25/03/2020,205,0,22
26/03/2020,283,0,27
27/03/2020,368,0,37
28/03/2020,451,0,50
29/03/2020,514,1,56
30/03/2020,589,1,63
31/03/2020,647,1,74
01/04/2020,708,1,83
02/04/2020,797,1,92
03/04/2020,868,1,103
04/04/2020,950,1,127
05/04/2020,1039,1,156
06/04/2020,1106,1,176
07/04/2020,1160,1,241
08/04/2020,1210,1,282
09/04/2020,1239,1,317
10/04/2020,1283,2,373
11/04/2020,1312,4,422
12/04/2020,1330,4,471
13/04/2020,1349,5,546
14/04/2020,1366,9,628
15/04/2020,1386,9,728
16/04/2020,1401,9,770
17/04/2020,1409,11,816
18/04/2020,1422,11,867
19/04/2020,1431,12,912
20/04/2020,1440,12,974
21/04/2020,1445,13,1006
22/04/2020,1451,14,1036
23/04/2020,1456,17,1095
24/04/2020,1461,18,1118
25/04/2020,1470,18,1142
26/04/2020,1469,19,1180
27/04/2020,1472,19,1214
28/04/2020,1474,19,1229
29/04/2020,1476,19,1241
30/04/2020,1479,19,1252
01/05/2020,1485,20,1263
02/05/2020,1487,20,1266
03/05/2020,1487,20,1276
04/05/2020,1486,20,1302
05/05/2020,1488,21,1316
06/05/2020,1489,21,1332
07/05/2020,1490,21,1347
08/05/2020,1492,21,1368
09/05/2020,1494,21,1371
10/05/2020,1497,21,1386
11/05/2020,1497,21,1398
12/05/2020,1497,21,1402
13/05/2020,1497,21,1411
14/05/2020,1498,21,1421
15/05/2020,1498,21,1428
16/05/2020,1499,21,1433
17/05/2020,1499,21,1433
18/05/2020,1499,21,1433
19/05/2020,1503,21,1447
20/05/2020,1503,21,1452
21/05/2020,1504,21,1455
22/05/2020,1504,21,1455
23/05/2020,1504,21,1456
24/05/2020,1504,21,1456
25/05/2020,1504,21,1461
26/05/2020,1504,21,1462
27/05/2020,1504,22,1474
28/05/2020,1504,22,1481
29/05/2020,1504,22,1481
30/05/2020,1504,22,1481
31/05/2020,1504,22,1481
01/06/2020,1504,22,1481
02/06/2020,1504,22,1481
03/06/2020,1504,22,1481
04/06/2020,1504,22,1481
05/06/2020,1504,22,1481
06/06/2020,1504,22,1481
07/06/2020,1504,22,1482
08/06/2020,1504,22,1482
09/06/2020,1504,22,1482
10/06/2020,1504,22,1482
11/06/2020,1504,22,1482
12/06/2020,1504,22,1482
13/06/2020,1504,22,1482
14/06/2020,1504,22,1482
15/06/2020,1506,22,1482
16/06/2020,1506,22,1482
17/06/2020,1507,22,1482
18/06/2020,1507,22,1482
19/06/2020,1509,22,1482
20/06/2020,1511,22,1482
21/06/2020,1513,22,1482
22/06/2020,1515,22,1483
23/06/2020,1516,22,1483
24/06/2020,1519,22,1484
25/06/2020,1520,22,1484
26/06/2020,1522,22,1484
27/06/2020,1526,22,1484
28/06/2020,1528,22,1484
29/06/2020,1528,22,1484
30/06/2020,1528,22,1484
01/07/2020,1530,22,1490
02/07/2020,1530,22,1490
03/07/2020,1530,22,1490
04/07/2020,1533,22,1490